name,latitude,longitude,datetime,windgust,windspeed,winddir,stations
calgary,51.045,-114.063,2022-01-03T15:00:00,33.4,21.8,2,"71877099999,CPST,71495099999,71526099999,C8540,71235099999,CYYC"
calgary,51.045,-114.063,2022-01-03T16:00:00,33.1,26.3,4,"71877099999,CPST,71495099999,71526099999,C8540,71235099999,CYYC"
calgary,51.045,-114.063,2022-01-03T17:00:00,,24.4,2,"71877099999,CPST,71495099999,71526099999,71393099999,71235099999,E7122"
calgary,51.045,-114.063,2022-01-03T18:00:00,42,27.3,360,"71877099999,CPST,71495099999,71526099999,71235099999,CYYC"
calgary,51.045,-114.063,2022-01-03T19:00:00,39.1,30.8,360,"71877099999,CPST,71495099999,71526099999,71235099999,CYYC"
calgary,51.045,-114.063,2022-01-03T20:00:00,,27.9,358,"71877099999,CPST,71495099999,71526099999,71393099999,71235099999"
calgary,51.045,-114.063,2022-01-03T21:00:00,32.6,24.5,2,"71877099999,CPST,71495099999,71526099999,71235099999,CYYC"
calgary,51.045,-114.063,2022-01-03T22:00:00,40.9,25.9,345,"71877099999,CPST,71495099999,71526099999,71235099999,CYYC"
calgary,51.045,-114.063,2022-01-03T23:00:00,,28.1,358,"71877099999,CPST,71495099999,71526099999,71393099999,71235099999"
calgary,51.045,-114.063,2022-01-04T00:00:00,50,34.5,350,"71877099999,CPST,71495099999,71526099999,71235099999,CYYC"
calgary,51.045,-114.063,2022-01-04T01:00:00,40.4,30.1,342,"71877099999,CPST,71495099999,71526099999,71235099999,CYYC"
calgary,51.045,-114.063,2022-01-04T02:00:00,,26.5,348,"71877099999,CPST,71495099999,71526099999,71393099999,71235099999"
calgary,51.045,-114.063,2022-01-04T03:00:00,43.6,31.1,342,"71877099999,CPST,71495099999,71526099999,71235099999,CYYC"
calgary,51.045,-114.063,2022-01-04T04:00:00,46.7,34.3,354,"71877099999,CPST,71495099999,71526099999,71235099999,CYYC"
calgary,51.045,-114.063,2022-01-04T05:00:00,,30.8,356,"71877099999,CPST,71495099999,71526099999,71393099999,71235099999"
calgary,51.045,-114.063,2022-01-04T06:00:00,33.8,31.9,350,"71877099999,CPST,71495099999,71526099999,71235099999,CYYC"
calgary,51.045,-114.063,2022-01-04T07:00:00,43,31.1,350,"71877099999,CPST,71495099999,71526099999,71235099999,CYYC"
calgary,51.045,-114.063,2022-01-04T08:00:00,,29.1,345,"71877099999,CPST,71495099999,71526099999,71393099999,71235099999"
calgary,51.045,-114.063,2022-01-04T09:00:00,38.2,25.4,350,"71877099999,CPST,71495099999,71526099999,71235099999,E7122,CYYC"
calgary,51.045,-114.063,2022-01-04T10:00:00,34.7,21.5,330,"71877099999,CPST,71495099999,71526099999,C8540,71235099999,CYYC"
calgary,51.045,-114.063,2022-01-04T11:00:00,,23.7,342,"71877099999,CPST,71495099999,71526099999,C8540,71393099999,71235099999"
calgary,51.045,-114.063,2022-01-04T12:00:00,39,24.4,340,"71877099999,CPST,71495099999,71526099999,C8540,71235099999,CYYC"
calgary,51.045,-114.063,2022-01-04T13:00:00,33.7,21.4,333,"71877099999,CPST,71495099999,71526099999,C8540,71235099999,CYYC"
calgary,51.045,-114.063,2022-01-04T14:00:00,,20.8,346,"71877099999,CPST,71495099999,71526099999,C8540,71393099999,71235099999"
